title,album,isrc,trackId,url,total_streams,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
down under tekkno,down under tekkno,GX8KD2226197,3OuJr3wAgXwQJFbccbSDxu,https://open.spotify.com/track/3OuJr3wAgXwQJFbccbSDxu,355781,,,,,,,
down under tekkno (sped up),down under tekkno (sped up),GX8KD2226206,0S7nUSPbLBghEnAVYBMiSa,https://open.spotify.com/track/0S7nUSPbLBghEnAVYBMiSa,9163,,,,,,,
addicted to you tekkno,addicted to you tekkno,GX8KD2223374,2UsioXuoS0jpSFsB6NM6il,https://open.spotify.com/track/2UsioXuoS0jpSFsB6NM6il,5345671,,,,,,,
addicted to you tekkno (sped up),addicted to you tekkno (sped up),GX8KD2223375,5eDkVGeTqoRqJoCYAgNOBe,https://open.spotify.com/track/5eDkVGeTqoRqJoCYAgNOBe,65272,,,,,,,
fake id tekkno,fake id tekkno,GX8KD2223568,1Ia6GEfOQa9dX4bT5rx2PO,https://open.spotify.com/track/1Ia6GEfOQa9dX4bT5rx2PO,95909,,,,,,,
fake id tekkno (sped up),fake id tekkno (sped up),GX8KD2223559,3Bp0x7D46wgLHZAKcnAfdG,https://open.spotify.com/track/3Bp0x7D46wgLHZAKcnAfdG,7418,,,,,,,
turn on the lights tekkno (sped up),turn on the lights tekkno (sped up),GX8KD2223339,4bEhJ035OQhZ9nRj0Gdqh9,https://open.spotify.com/track/4bEhJ035OQhZ9nRj0Gdqh9,9724,,,,,,,
miss you tekkno (sped up),miss you tekkno (sped up),GX8KD2223583,1Sp7RMzKDISRTxHiD1qXDL,https://open.spotify.com/track/1Sp7RMzKDISRTxHiD1qXDL,819935,,,,,,,
miss you tekkno,miss you tekkno,GX8KD2223605,3p9MekJF2kXAHhL7boSpQo,https://open.spotify.com/track/3p9MekJF2kXAHhL7boSpQo,1446514,,,,,,,
chase the sun tekkno,chase the sun tekkno,GX8KD2220701,7kt8zetuboHzK4vT2u2YgU,https://open.spotify.com/track/7kt8zetuboHzK4vT2u2YgU,1545352,,,,,,,
chase the sun tekkno (sped up),chase the sun tekkno (sped up),GX8KD2221949,2OarlgYFXKFe5tzQUT1rQI,https://open.spotify.com/track/2OarlgYFXKFe5tzQUT1rQI,6966,,,,,,,
